"Group","idba_tran_BLAST_nt_BOWTIE2","idba_tran_BLAST_nt_BWA","idba_tran_BLAST_SILVA_BOWTIE2","idba_tran_BLAST_SILVA_BWA","idba_tran_CREST_BOWTIE2","idba_tran_CREST_BWA","rnaSPAdes_BLAST_nt_BOWTIE2","rnaSPAdes_BLAST_nt_BWA","rnaSPAdes_BLAST_SILVA_BOWTIE2","rnaSPAdes_BLAST_SILVA_BWA","rnaSPAdes_CREST_BOWTIE2","rnaSPAdes_CREST_BWA","trinity_BLAST_nt_BOWTIE2","trinity_BLAST_nt_BWA","trinity_BLAST_SILVA_BOWTIE2","trinity_BLAST_SILVA_BWA","trinity_CREST_BOWTIE2","trinity_CREST_BWA"
"Archaea",0.000519640428112986,0.000603707908060157,0.000452352759735626,0.000601964592664085,0.000398416289434898,0.000583685332792716,0.000414349928705945,0.000420405087933958,0.000400521233487096,0.000412008298851249,0.000248596061754861,0.000256335030395209,0.000507628839962447,0.000597624153291136,0.000270150486318945,0.000471364600518501,0.000264267960353247,0.000472613371820636
"Bacteria",0.617053573013828,0.664721243007836,0.629840034799118,0.672109245071568,0.645668678440221,0.618435825431636,0.702544558191855,0.696478745411238,0.673302740495273,0.669955610513924,0.703899613689367,0.697147235413935,0.676005148984375,0.676377022554667,0.672780233060074,0.67574016337007,0.694296439145204,0.692276602640806
"Eukaryota",0.35886519941311,0.311631222110898,0.364699687325128,0.315766721571036,0.320081863344686,0.259385110331451,0.292195147914257,0.297504536382811,0.32503224570082,0.327840629644515,0.288988924634147,0.291724870762295,0.30744465171377,0.306857693216063,0.325974228989551,0.322399539421743,0.296467899541222,0.292533195064171
"NA",0.0235476316722594,0.0230135281437618,0.00498102242305923,0.0114356362592178,0,0,0.00422204903657717,0.00485647303815567,0.0012644925704202,0.00179175154270928,0,0,0.0140143904131712,0.014422550225189,0.000975387464056045,0.00138893260766831,0,0
"Unknown",1.3955472689761e-05,3.02988294442771e-05,2.69026929595653e-05,8.64325055137015e-05,0.0338510419256586,0.12159537890412,0.00062348863679686,0.000734022872683293,0,0,0.0068628656147311,0.0108715587933745,0.00202818004872137,0.00174510985078968,0,0,0.00897139335322088,0.014717588923202
"Viruses",0,0,0,0,0,0,4.06291807850248e-07,5.8172071773725e-06,0,0,0,0,0,0,0,0,0,0
