Group,idba_tran_BLAST_nt_BOWTIE2,idba_tran_BLAST_nt_BWA,idba_tran_BLAST_SILVA_BOWTIE2,idba_tran_BLAST_SILVA_BWA,idba_tran_CREST_BOWTIE2,idba_tran_CREST_BWA,rnaSPAdes_BLAST_nt_BOWTIE2,rnaSPAdes_BLAST_nt_BWA,rnaSPAdes_BLAST_SILVA_BOWTIE2,rnaSPAdes_BLAST_SILVA_BWA,rnaSPAdes_CREST_BOWTIE2,rnaSPAdes_CREST_BWA,trinity_BLAST_nt_BOWTIE2,trinity_BLAST_nt_BWA,trinity_BLAST_SILVA_BOWTIE2,trinity_BLAST_SILVA_BWA,trinity_CREST_BOWTIE2,trinity_CREST_BWA
Bacteria:_Ignavibacteriae,0,0,1.12E-06,1.34E-06,1.94E-06,0.000145378,0,0,0,0,3.09E-06,5.25E-06,0,0,2.88E-06,4.10E-06,6.80E-07,1.37E-06
Bacteria:_Kiritimatiellaeota,0,0,2.61E-06,1.31E-06,0,0,0,0,8.55E-07,9.09E-07,0,0,0,0,4.46E-06,8.50E-06,0,0
Bacteria:_Lentisphaerae,1.10E-06,1.37E-06,0,0,0,0,0,0,0,0,0,0,0,0,2.23E-05,4.31E-05,0,0
Bacteria:_Nitrospinae,0,0,1.60E-05,8.71E-06,0,0,6.77E-08,4.16E-07,2.96E-06,5.35E-06,0,0,0,0,7.50E-06,8.29E-06,9.72E-05,7.48E-05
Bacteria:_Nitrospirae,2.49E-05,0.00014236,0.001099284,0.001010836,0.001119194,0.001012835,5.08E-07,8.95E-07,1.95E-05,2.34E-05,2.10E-05,2.52E-05,7.19E-06,6.34E-05,0.003781607,0.005092348,0.002268153,0.002829592
Bacteria:_Planctomycetes,0.005582774,0.008058265,0.02599918,0.029749437,0.026904923,0.027278345,0.010476776,0.010523775,0.024024504,0.025017592,0.025475245,0.026295526,0.006456156,0.006766809,0.024391186,0.025589837,0.02528702,0.02635957
Bacteria:_Proteobacteria,0.073848781,0.099782732,0.195910329,0.215171218,0.215798125,0.210514921,0.084032251,0.08647141,0.194268513,0.193143595,0.213955666,0.211891203,0.086775378,0.091761606,0.197204548,0.207729081,0.213470763,0.22255828
Bacteria:_Spirochaetes,2.56E-05,1.87E-05,8.18E-05,1.56E-05,8.39E-05,1.56E-05,2.37E-06,2.21E-06,1.50E-06,1.99E-06,8.88E-07,1.17E-06,9.04E-07,1.08E-06,1.49E-05,2.63E-05,1.32E-06,1.16E-05
Bacteria:_Synergistetes,6.06E-06,4.06E-06,0,0,0,0,0,0,0,0,0,0,0,0,0.000197085,0.000148295,0.000208479,0.000160348
Bacteria:_Tenericutes,6.14E-05,4.86E-05,0.000325441,0.000470066,0,0,2.95E-06,6.04E-06,0.000199869,0.000272227,2.32E-07,8.75E-07,3.95E-06,4.12E-06,0.000164052,0.000238077,6.92E-06,8.07E-06
